epoch,cpuset,gpuset,onlylp
188,0.249454,0.141026,0.148220
189,0.199740,0.142654,0.144185
190,0.201045,0.143255,0.132022
191,0.202251,0.141634,0.149014
192,0.199688,0.143871,0.149454
193,0.205456,0.142096,0.140362
194,0.202630,0.143864,0.146502
195,0.251535,0.142667,0.144677
196,0.304807,0.142677,0.146097
197,0.269712,0.143245,0.139898
198,0.202890,0.141937,0.141002
199,0.204239,0.141737,0.145079
200,0.255798,0.143404,0.138860
