lr=1.0000e-02, mom=0.5000, eta=5.0000, lam=5.0000
epoch = 0, loss = 9990873.1551033445
epoch = 10, loss = 11599876.4161836710
epoch = 20, loss = 11599310.5763209723
epoch = 30, loss = 11667329.7307845000
epoch = 40, loss = 11669912.8780366052
epoch = 50, loss = 11669912.8987043723
epoch = 60, loss = 11669912.8987068348
epoch = 70, loss = 11669912.8986878656
epoch = 79, loss = 11669912.8986691814
