epoch,t1,t3,t5,t7
158,0.117840,0.120092,0.177792,0.174293
159,0.114304,0.197514,0.177250,0.180795
160,0.114609,0.190552,0.176661,0.177931
161,0.115353,0.189806,0.177101,0.183021
162,0.114545,0.155432,0.174387,0.179813
163,0.114362,0.204900,0.178107,0.179601
164,0.114859,0.149937,0.176318,0.180323
165,0.114654,0.180241,0.176595,0.178299
166,0.115133,0.145123,0.177673,0.180321
167,0.114896,0.161065,0.175142,0.179117
168,0.113854,0.205970,0.178150,0.184268
169,0.114642,0.168728,0.177091,0.192317
170,0.114688,0.119213,0.177028,0.180604
171,0.115282,0.115255,0.175859,0.233237
172,0.114769,0.130659,0.176504,0.239826
173,0.114031,0.209783,0.175239,0.239861
174,0.113810,0.118281,0.174966,0.242766
175,0.114621,0.127243,0.177441,0.256271
176,0.116590,0.203683,0.175665,0.227518
177,0.114380,0.187632,0.175400,0.257307
178,0.114111,0.203281,0.176167,0.253817
179,0.114631,0.169522,0.177447,0.230176
180,0.114817,0.175271,0.177525,0.263632
181,0.114942,0.120306,0.177372,0.225905
182,0.114721,0.179446,0.177438,0.254184
183,0.115348,0.187410,0.177159,0.246570
184,0.115197,0.168392,0.176809,0.262975
185,0.113898,0.214354,0.176868,0.179489
186,0.113347,0.188502,0.177193,0.175694
187,0.114916,0.158721,0.177905,0.188022
188,0.115232,0.156152,0.178395,0.177998
189,0.115790,0.190758,0.177879,0.182558
190,0.114836,0.181414,0.178067,0.184391
191,0.115593,0.199145,0.176940,0.177174
192,0.115150,0.167964,0.177563,0.180396
193,0.115425,0.159912,0.178105,0.179901
194,0.114432,0.171983,0.177491,0.181749
195,0.114465,0.202146,0.177742,0.179004
196,0.114185,0.139334,0.178261,0.177249
197,0.114418,0.207225,0.178351,0.178346
198,0.114228,0.193560,0.178654,0.177701
199,0.115762,0.174402,0.178674,0.182510
200,0.114495,0.144734,0.178479,0.178581
